id,astar_1000tr_reg_dep,cr_1000tr_dep,astar_1000tr_reg_arr,cr_1000tr_arr,astar_1000tr_reg_route,cr_1000tr_route,astar_1000tr_reg_traveltime,cr_1000tr_traveltime,same_traveltime?,same_route?
26,26.0,26.0,148.0,148.0,['C7D7 D7E7 E7F7 F7G7 G7H7 H7I7 I7J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2I2'],['C7D7 D7E7 E7F7 F7G7 G7H7 H7I7 I7J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2I2'],122.0,122.0,True,True
27,27.0,27.0,94.0,94.0,['G4F4 F4G4 G4G3 G3G2 G2G1 G1G0 G0G1'],['G4F4 F4G4 G4G3 G3G2 G2G1 G1G0 G0G1'],67.0,67.0,True,True
28,28.0,28.0,143.0,143.0,['B8B9 B9C9 C9D9 D9E9 E9F9 F9G9 G9H9 H9H8 H8H7 H7H6 H6H5 H5H4 H4H3 H3H2 H2H1 H1I1'],['B8B9 B9C9 C9D9 D9E9 E9F9 F9G9 G9H9 H9H8 H8H7 H7H6 H6H5 H5H4 H4H3 H3H2 H2H1 H1I1'],115.0,115.0,True,True
29,29.0,29.0,76.0,76.0,['B7C7 C7C8 C8D8 D8D7'],['B7C7 C7C8 C8D8 D8D7'],47.0,47.0,True,True
30,30.0,30.0,102.0,102.0,['J8J7 J7J6 J6J5 J5J4 J4I4 I4H4 H4G4 G4G3 G3G2'],['J8J7 J7J6 J6J5 J5J4 J4I4 I4H4 H4G4 G4G3 G3G2'],72.0,72.0,True,True
31,31.0,31.0,82.0,82.0,['F5F4 F4F5 F5F6 F6F7 F7G7 G7G6'],['F5F4 F4F5 F5F6 F6F7 F7G7 G7G6'],51.0,51.0,True,True
32,32.0,32.0,84.0,84.0,['I2I3 I3I4 I4I5 I5I6 I6H6 H6G6'],['I2I3 I3I4 I4I5 I5I6 I6H6 H6G6'],52.0,52.0,True,True
33,33.0,33.0,79.0,79.0,['C4C3 C3B3 B3A3 A3A4 A4A3'],['C4C3 C3B3 B3A3 A3A4 A4A3'],46.0,46.0,True,True
34,34.0,34.0,95.0,95.0,['D2D3 D3D4 D4D5 D5D6 D6D7 D7C7 C7D7'],['D2D3 D3D4 D4D5 D5D6 D6D7 D7C7 C7D7'],61.0,61.0,True,True
35,35.0,35.0,141.0,141.0,['C2C3 C3D3 D3E3 E3F3 F3G3 G3H3 H3I3 I3J3 J3J2 J2J3'],['C2C3 C3D3 D3E3 E3F3 F3G3 G3H3 H3I3 I3J3 J3J2 J2J3'],106.0,106.0,True,True
36,36.0,36.0,141.0,141.0,['I5I6 I6I5 I5I4 I4I3 I3I2 I2H2 H2G2 G2F2 F2E2 E2D2 D2D3'],['I5I6 I6I5 I5I4 I4I3 I3I2 I2H2 H2G2 G2F2 F2E2 E2D2 D2D3'],105.0,105.0,True,True
37,37.0,37.0,108.0,108.0,['G4G5 G5G4 G4G3 G3G2 G2G1 G1G0 G0F0 F0E0 E0D0'],['G4G5 G5G4 G4G3 G3G2 G2G1 G1G0 G0F0 F0E0 E0D0'],71.0,71.0,True,True
38,38.0,38.0,99.0,99.0,['I9H9 H9G9 G9F9 F9E9 E9E8 E8E7 E7E6 E6D6'],['I9H9 H9G9 G9F9 F9E9 E9E8 E8E7 E7E6 E6D6'],61.0,61.0,True,True
39,39.0,39.0,88.0,88.0,['C7C8 C8C7 C7C6 C6C5 C5D5'],['C7C8 C8C7 C7C6 C6C5 C5D5'],49.0,49.0,True,True
40,40.0,40.0,119.0,119.0,['F5G5 G5F5 F5E5 E5D5 D5C5 C5C6 C6C7 C7C6'],['F5G5 G5F5 F5E5 E5D5 D5C5 C5C6 C6C7 C7C6'],79.0,79.0,True,True
41,41.0,41.0,85.0,85.0,['F7G7 G7H7 H7I7 I7I8'],['F7G7 G7H7 H7I7 I7I8'],44.0,44.0,True,True
42,42.0,42.0,101.0,101.0,['E0E1 E1E2 E2E3 E3D3 D3C3 C3C2'],['E0E1 E1E2 E2E3 E3D3 D3C3 C3C2'],59.0,59.0,True,True
43,43.0,43.0,149.0,149.0,['J9J8 J8J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1I1 I1H1 H1G1 G1F1 F1E1'],['J9J8 J8J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1I1 I1H1 H1G1 G1F1 F1E1'],106.0,106.0,True,True
44,44.0,44.0,115.0,115.0,['B1B0 B0A0 A0A1 A1A2 A2A3 A3A4 A4A5 A5B5'],['B1B0 B0A0 A0A1 A1A2 A2A3 A3A4 A4A5 A5B5'],71.0,71.0,True,True
45,45.0,45.0,172.0,172.0,['B3A3 A3B3 B3C3 C3D3 D3E3 E3F3 F3G3 G3G2 G2F2'],['B3A3 A3B3 B3C3 C3D3 D3E3 E3F3 F3G3 G3G2 G2F2'],127.0,127.0,True,True
46,46.0,46.0,143.0,143.0,['H7H8 H8H7 H7H6 H6H5 H5H4 H4H3 H3H2 H2G2 G2F2 F2E2 E2E3'],['H7H8 H8H7 H7H6 H6H5 H5H4 H4H3 H3H2 H2G2 G2F2 F2E2 E2E3'],97.0,97.0,True,True
47,47.0,47.0,96.0,96.0,['A7B7 B7C7 C7D7 D7D8 D8D9'],['A7B7 B7C7 C7D7 D7D8 D8D9'],49.0,49.0,True,True
48,48.0,48.0,161.0,161.0,['J9I9 I9H9 H9G9 G9G8 G8G7 G7G6 G6G5 G5G4 G4G3 G3G2 G2F2 F2G2'],['J9I9 I9H9 H9G9 G9G8 G8G7 G7G6 G6G5 G5G4 G4G3 G3G2 G2F2 F2G2'],113.0,113.0,True,True
49,49.0,49.0,90.0,90.0,['J6I6 I6I5 I5I4 I4H4'],['J6I6 I6I5 I5I4 I4H4'],41.0,41.0,True,True
50,50.0,50.0,137.0,137.0,['A1B1 B1C1 C1D1 D1E1 E1F1 F1G1 G1H1 H1G1'],['A1B1 B1C1 C1D1 D1E1 E1F1 F1G1 G1H1 H1G1'],87.0,87.0,True,True
51,53.0,53.0,101.0,101.0,['G7F7 F7F6 F6F5 F5F4 F4F3 F3F4'],['G7F7 F7F6 F6F5 F5F4 F4F3 F3F4'],48.0,48.0,True,True
52,52.0,52.0,128.0,128.0,['C7D7 D7E7 E7F7 F7G7 G7G6 G6G5 G5G4 G4G3 G3G2'],['C7D7 D7E7 E7F7 F7G7 G7G6 G6G5 G5G4 G4G3 G3G2'],76.0,76.0,True,True
53,53.0,53.0,142.0,142.0,['B3B2 B2B3 B3C3 C3D3 D3E3 E3F3'],['B3B2 B2B3 B3C3 C3D3 D3E3 E3F3'],89.0,89.0,True,True
54,54.0,54.0,138.0,138.0,['E5E6 E6F6 F6G6 G6H6 H6I6 I6J6 J6J5 J5J4 J4I4'],['E5E6 E6F6 F6G6 G6H6 H6I6 I6J6 J6J5 J5J4 J4I4'],84.0,84.0,True,True
55,55.0,55.0,149.0,149.0,['I5I6 I6I7 I7H7 H7G7 G7F7 F7E7 E7D7 D7C7 C7C6'],['I5I6 I6I7 I7H7 H7G7 G7F7 F7E7 E7D7 D7C7 C7C6'],94.0,94.0,True,True
56,56.0,56.0,181.0,181.0,['F0E0 E0D0 D0C0 C0B0 B0B1 B1B2 B2B3 B3B4 B4B5 B5B6 B6B7 B7B8 B8B9 B9B8'],['F0E0 E0D0 D0C0 C0B0 B0B1 B1B2 B2B3 B3B4 B4B5 B5B6 B6B7 B7B8 B8B9 B9B8'],125.0,125.0,True,True
57,57.0,57.0,106.0,106.0,['I8J8 J8J7 J7J6 J6J5 J5I5 I5H5'],['I8J8 J8J7 J7J6 J6J5 J5I5 I5H5'],49.0,49.0,True,True
58,58.0,58.0,142.0,142.0,['D1C1 C1C2 C2C3 C3D3 D3E3 E3F3 F3G3 G3G2'],['D1C1 C1C2 C2C3 C3D3 D3E3 E3F3 F3G3 G3G2'],84.0,84.0,True,True
59,59.0,59.0,175.0,175.0,['G0G1 G1G2 G2G3 G3G4 G4G5 G5G6 G6G7 G7F7 F7E7 E7D7 D7C7 C7B7 B7A7'],['G0G1 G1G2 G2G3 G3G4 G4G5 G5G6 G6G7 G7F7 F7E7 E7D7 D7C7 C7B7 B7A7'],116.0,116.0,True,True
60,60.0,60.0,123.0,123.0,['H4I4 I4H4 H4G4 G4G3 G3F3 F3G3'],['H4I4 I4H4 H4G4 G4G3 G3F3 F3G3'],63.0,63.0,True,True
61,61.0,61.0,120.0,120.0,['H6H5 H5H4 H4H3 H3H2 H2G2 G2F2 F2G2'],['H6H5 H5H4 H4H3 H3H2 H2G2 G2F2 F2G2'],59.0,59.0,True,True
62,62.0,62.0,123.0,123.0,['A0A1 A1A2 A2A3 A3B3 B3C3 C3D3 D3D2'],['A0A1 A1A2 A2A3 A3B3 B3C3 C3D3 D3D2'],61.0,61.0,True,True
63,66.0,66.0,182.0,182.0,['A2B2 B2C2 C2D2 D2E2 E2F2 F2G2 G2H2 H2I2 I2J2 J2J1 J1I1'],['A2B2 B2C2 C2D2 D2E2 E2F2 F2G2 G2H2 H2I2 I2J2 J2J1 J1I1'],116.0,116.0,True,True
64,64.0,64.0,132.0,132.0,['I5J5 J5J4 J4J3 J3J2 J2J1 J1I1 I1I2'],['I5J5 J5J4 J4J3 J3J2 J2J1 J1I1 I1I2'],68.0,68.0,True,True
65,65.0,65.0,182.0,182.0,['D1E1 E1D1 D1C1 C1B1 B1A1 A1A2 A2A3 A3A4 A4A5 A5A6 A6A7 A7A6'],['D1E1 E1D1 D1C1 C1B1 B1A1 A1A2 A2A3 A3A4 A4A5 A5A6 A6A7 A7A6'],117.0,117.0,True,True
66,67.0,67.0,109.0,109.0,['I5J5 J5J4 J4J3 J3I3'],['I5J5 J5J4 J4J3 J3I3'],42.0,42.0,True,True
